colaborador_id,area,nivel_cargo,genero,raca,data_admissao,idade,salario_base_inicial,tempo_casa_meses,engajamento_medio,horas_extras_media,performance_media
20,Tecnologia,Pleno,M,Branca,2017-08-07,32,7910.015852047313,104,66.57626614454223,16.54544690860659,2.972297639183323
21,Risco & Compliance,Pleno,M,Branca,2016-10-08,26,6660.316740080815,114,75.22036069913615,14.50899429408139,3.076917893452809
22,Comercial,Júnior,F,Parda,2015-04-15,36,2624.8743091663564,132,67.30756759118775,11.814847981558101,2.8031515621505
23,Tecnologia,Júnior,M,Parda,2024-02-01,37,3508.4216196842244,25,66.451767394374,19.768270579709363,2.7659008947840906
24,Tecnologia,Pleno,M,Parda,2015-01-31,27,7545.837486992177,135,69.91308234634535,20.71732646780046,2.9724770510536715
25,Tecnologia,Sênior,M,Branca,2022-05-10,33,13821.312937564378,46,67.8689022578461,18.472654764949045,3.0433888898950934
26,Produtos Digitais,Júnior,M,Parda,2016-07-09,31,4302.159264881829,117,74.11075489784453,13.264550999938379,2.9205534595531546
27,Comercial,Júnior,F,Parda,2024-02-12,35,3109.69484530944,25,63.309790957977576,13.245440125755342,2.7287113907962506
28,Risco & Compliance,Líder,F,Parda,2023-12-03,27,16480.362805210003,27,74.60928078744219,14.679390309361752,3.3232598764675276
29,Risco & Compliance,Júnior,M,Parda,2021-07-14,41,3100.697143975993,56,76.71611839607029,12.76817398373823,2.9558892903169696
30,Comercial,Líder,F,Branca,2021-09-19,39,13286.602100936674,54,64.8409885668687,14.793695954051836,3.2980357185223994
31,Risco & Compliance,Pleno,F,Branca,2015-01-20,31,6419.97054844087,135,76.50713577868397,10.808070266506343,3.216435964180604
32,Comercial,Sênior,M,Branca,2024-11-03,32,8585.555481733878,16,68.9627821370649,13.191139922940586,3.2529252831705513
33,Comercial,Júnior,M,Branca,2023-10-10,33,2739.950300340165,29,63.879338759227466,12.447765038242727,2.875733043088721
34,Backoffice,Júnior,M,Parda,2023-12-12,29,2792.273286371124,27,74.3723465200398,10.143190381425365,2.8190708083230565
35,Backoffice,Pleno,F,Preta,2021-08-03,31,5560.814867498974,55,73.46501937667392,12.73768923144631,3.008392120360051
36,Produtos Digitais,Sênior,F,Parda,2018-06-12,32,11654.396495537818,94,74.11962759952256,10.763583535312499,3.1768260704515057
37,Tecnologia,Pleno,M,Parda,2023-12-06,43,7700.385345431905,27,65.5057622320448,21.68856011278442,3.089700328761495
38,Comercial,Júnior,M,Branca,2017-11-30,39,3044.715830267912,100,64.21254506117,11.777981087014178,2.797528998302708
39,Crédito,Sênior,M,Branca,2020-08-15,39,10044.45984887215,67,73.87267406448514,11.016062671202038,3.4056301187737046
40,Tecnologia,Sênior,M,Branca,2015-12-31,36,14161.861446726649,123,64.81059085945732,19.903757714145353,3.239205573152421
41,Comercial,Pleno,M,Branca,2024-03-19,27,5278.8890021115485,23,66.57565236579048,12.223497897441645,2.5887744569609192
42,Tecnologia,Sênior,M,Branca,2016-05-28,33,13830.62806714001,119,65.58898855238972,19.420911766994067,3.393007952775655
43,Comercial,Sênior,F,Parda,2017-03-31,39,8500.929195745017,108,65.43547967744423,11.699384972800972,3.1689328114256607
44,Backoffice,Pleno,M,Não declarado,2020-07-30,26,6353.700672527605,68,73.74579865643729,11.845928324461005,3.08407364913713
45,Comercial,Júnior,M,Branca,2022-08-20,37,2567.7477589838813,43,63.55534437760449,13.692766294939553,3.0125705687402156
46,Crédito,Pleno,M,Branca,2021-03-10,47,7433.670906016679,60,75.06806052623232,13.797090930493686,2.958813800671057
47,Tecnologia,Júnior,M,Parda,2017-04-27,40,3594.4021627127845,107,64.46652506691126,22.8324535387263,2.6296069674368825
48,Risco & Compliance,Pleno,M,Branca,2015-01-04,42,7071.669264269914,136,73.73390638977394,13.11100017208817,2.838958253839525
49,Risco & Compliance,Pleno,F,Parda,2022-07-26,35,6405.4555067414585,44,74.17408271446047,13.59379673391001,3.085578035461454
50,Comercial,Júnior,M,Parda,2024-11-05,39,2613.8171300986573,16,65.78493926270998,11.780972064558085,2.9357066305823434
51,Backoffice,Júnior,F,Amarela,2023-02-04,29,3078.718224563036,37,74.4050010186247,12.702114776042237,2.666007006292887
52,Produtos Digitais,Júnior,M,Branca,2019-08-07,38,3529.0720126654587,80,76.37083801992928,11.70731030869374,2.8396177052259386
53,Backoffice,Sênior,F,Parda,2024-01-12,37,10703.04324248947,26,76.19621675629726,14.308855153792125,3.3504259623667227
54,Backoffice,Sênior,F,Parda,2019-02-04,35,8220.276002006234,86,78.84757666146308,11.044806660896128,3.168394589157947
55,Risco & Compliance,Júnior,F,Parda,2020-03-31,41,3279.5320249938004,72,77.90315007760042,12.071185338165614,2.857448280023384
56,Backoffice,Líder,M,Branca,2019-10-08,30,15203.472191887153,78,75.0549005054145,10.257124712351773,3.4586648565314007
57,Comercial,Pleno,F,Branca,2019-06-22,32,5807.843636625667,81,64.48668460914267,12.114389525973797,2.931584606902723
58,Comercial,Júnior,F,Parda,2022-09-30,34,2745.510127133191,41,67.45865353886136,9.436763787076393,2.9656849572093322
59,Comercial,Júnior,M,Parda,2020-04-06,27,3233.1818652564243,72,65.88275779044454,12.234965937116995,2.7867186154551895
60,Tecnologia,Pleno,F,Parda,2018-03-02,35,8139.663085774634,97,66.09376181459693,18.562472401680647,3.064637040173515
61,Tecnologia,Sênior,M,Parda,2017-07-31,23,14085.106189828875,104,63.503428990422385,20.968507440496815,3.4621106868934355
62,Comercial,Pleno,M,Parda,2015-05-18,40,5777.097198775939,131,64.99558126137283,9.123006203224083,3.0364914453830667
63,Produtos Digitais,Júnior,M,Branca,2020-10-29,34,4057.595857414253,65,76.63216276034144,13.51724057491292,2.901227344526836
64,Tecnologia,Júnior,F,Parda,2017-04-19,30,3596.019498201831,108,68.86636729963553,18.213684546567496,2.901030164747277
65,Tecnologia,Pleno,M,Parda,2016-06-24,28,6953.434099165578,118,64.61705223060495,17.91677205183509,3.0209770701163055
66,Risco & Compliance,Júnior,F,Preta,2021-07-14,32,3548.522631922233,56,74.02076746745715,13.124812327347945,2.8542945493543725
67,Comercial,Júnior,M,Preta,2021-10-22,38,2855.68666051526,53,64.8554417847532,12.035350308430324,2.8082233186863843
68,Produtos Digitais,Júnior,F,Branca,2022-07-08,37,3962.701572020708,44,74.04212129370138,12.203670475957146,2.6921503685315376
69,Comercial,Sênior,M,Parda,2020-01-13,29,9711.020972872084,74,68.29638359821251,13.198895556775517,3.2177711035240155
70,Backoffice,Sênior,F,Branca,2023-12-08,28,10106.084493093224,27,76.03086094304616,9.926536130180518,3.1524495671158417
71,Produtos Digitais,Pleno,M,Branca,2024-05-10,37,9115.243371448953,22,74.5581394561501,13.9242307602481,2.937863642894772
72,Comercial,Sênior,M,Parda,2023-01-25,29,10500.26818392213,37,62.71281020214656,14.06594846542457,3.182455479897983
73,Comercial,Júnior,M,Branca,2021-05-08,34,2974.4243364848094,58,68.59806237739444,12.941190580620606,3.163866317761274
74,Produtos Digitais,Pleno,F,Parda,2018-01-13,34,8778.468428815486,99,78.03838730353198,12.518559543388001,2.954504276485187
75,Crédito,Júnior,Outro,Branca,2024-10-27,35,3595.905320466412,16,75.0207974688418,12.672310622391336,2.8810213386740364
76,Produtos Digitais,Pleno,M,Branca,2017-09-27,39,7032.283167796287,102,77.76732941941853,10.623208837337868,2.9154119794940203
77,Produtos Digitais,Líder,M,Parda,2017-01-09,26,17793.65628749446,111,77.84097903445699,12.122144676142234,3.2455965735804955
78,Comercial,Pleno,F,Parda,2019-06-02,22,5168.25049933254,82,66.0366166632459,13.11414945440157,2.8627840197493657
79,Tecnologia,Pleno,M,Preta,2015-07-27,30,7402.836733964219,129,62.0195201671262,21.376021915796084,2.8854157913006446
80,Comercial,Pleno,F,Parda,2024-10-11,44,6586.536181810136,17,73.27848837192646,15.035007393599946,2.821837483347862
81,Backoffice,Júnior,F,Parda,2020-11-17,46,2690.186109795406,64,76.52588851133267,12.762401846841167,2.691165435455705
82,Crédito,Sênior,F,Branca,2020-07-25,44,11100.35263166906,68,78.35068305965835,14.120281050008913,3.248232186500548
83,Tecnologia,Pleno,M,Branca,2021-07-21,32,8421.323493827753,56,66.55670573185003,20.587032535447463,3.146129211447486
84,Comercial,Pleno,F,Branca,2019-12-20,23,6606.426201569978,75,68.92959888338136,10.158361362346353,3.175302123206793
85,Tecnologia,Pleno,F,Parda,2015-04-28,21,7871.358252860759,132,65.76988175908131,21.188704225343034,2.8391148832832553
86,Tecnologia,Pleno,M,Parda,2021-02-12,30,6975.3085097075655,61,65.78596021290961,22.19972871998443,3.0354051349326947
87,Produtos Digitais,Júnior,M,Branca,2022-02-27,32,3584.705401466459,48,74.73703455458613,12.125091161000661,2.7303318818656064
88,Crédito,Pleno,F,Parda,2019-03-02,41,5898.241762947834,85,72.53137025927587,11.844399513117773,2.9773387514957164
89,Backoffice,Júnior,M,Parda,2022-07-27,39,2513.99412507678,43,73.59193810239816,13.721171838870454,3.0704407907220763
90,Tecnologia,Pleno,F,Branca,2017-04-08,35,7033.341998153871,108,67.10131348795464,20.482616393992284,2.9855735287595464
91,Comercial,Sênior,F,Branca,2017-03-18,28,10155.370190738486,109,68.5717934697917,13.252412266067061,3.0047594414154353
92,Crédito,Sênior,F,Parda,2016-08-12,28,9995.800285495734,116,73.31826051654816,9.602633665012823,2.8896296211993224
93,Produtos Digitais,Pleno,M,Parda,2018-09-19,35,7216.033501313831,90,74.78681120790978,9.774494113038324,3.1051018387164846
94,Risco & Compliance,Pleno,F,Preta,2023-06-19,38,5968.539790569725,33,73.57464452748506,13.321880851999481,2.8658647354728686
95,Produtos Digitais,Júnior,F,Branca,2023-04-10,36,4210.358242974717,35,76.89212729868923,12.154248211218984,2.8826292681603136
96,Tecnologia,Sênior,F,Não declarado,2018-10-29,27,12934.211746175466,89,64.94998629407921,21.32258627786653,3.138726140111348
97,Risco & Compliance,Júnior,M,Branca,2020-11-20,37,3350.258069108432,64,74.1442715816019,12.35206590586962,2.7233277344229037
98,Tecnologia,Pleno,F,Branca,2022-03-15,36,6938.628205565864,48,68.0621333458714,22.19149962862802,3.049781909746071
99,Comercial,Júnior,F,Não declarado,2017-05-30,27,2884.0077220968587,106,64.9363439815365,12.249719059290408,3.084330352185875
100,Comercial,Júnior,F,Branca,2016-09-05,29,2637.020744703969,115,67.66033834533883,12.995950621700805,2.9440180497914734
101,Comercial,Pleno,F,Parda,2024-09-18,38,5507.629086764498,17,64.3096569921094,13.235291501269677,3.0080398171099314
102,Crédito,Júnior,M,Branca,2021-03-04,32,3861.62490939912,60,77.52690708689742,10.7567617250467,2.834338860351004
103,Tecnologia,Pleno,M,Parda,2024-10-22,43,8579.306429480614,16,67.0118367099141,18.738628273945253,2.8130330482373
104,Risco & Compliance,Júnior,F,Preta,2018-05-17,37,3446.1829897838925,95,77.14023871690752,12.499577286022452,2.6964000617030384
105,Backoffice,Júnior,F,Branca,2022-01-10,31,3206.383914680024,50,77.11465828983556,11.627215679331925,2.790323461783927
106,Comercial,Pleno,F,Parda,2017-03-23,33,6256.935420722565,109,71.007390693222,13.346881817070411,2.9740266877338386
107,Tecnologia,Júnior,F,Branca,2017-08-11,34,3224.846046868653,104,67.98284246500415,20.24821841763594,2.828436166628721
108,Produtos Digitais,Júnior,F,Parda,2020-02-12,29,4653.566540758487,73,74.58972142366416,12.479626314879695,2.6670166300159113
109,Comercial,Pleno,M,Branca,2018-03-12,28,5278.114143035763,97,66.92960487796354,11.543167979524727,3.0396158266024234
110,Comercial,Júnior,M,Branca,2016-09-03,38,3164.3776213005544,115,70.59202743951823,12.047999297711309,2.840978124071308
111,Tecnologia,Sênior,Outro,Branca,2017-08-17,39,11573.135761530462,104,66.79035783787918,21.955518380425918,3.1331022746200197
112,Comercial,Júnior,M,Branca,2015-05-11,37,2902.7830016162643,131,65.42142036824121,12.469608367909629,2.864643386569414
113,Backoffice,Júnior,M,Preta,2022-01-15,43,2974.773728004802,50,76.98329170063698,11.058045653787824,2.8473897773591017
114,Produtos Digitais,Pleno,M,Branca,2019-12-02,30,7945.664258817729,76,73.05384718769909,11.017836591269024,2.9839185400543062
115,Crédito,Júnior,F,Branca,2015-12-10,44,3191.815170993717,124,74.52708990153937,8.981198973004494,2.963689670085351
116,Backoffice,Júnior,M,Branca,2016-09-18,28,2708.451489780968,115,76.30713861426983,14.205948492345257,2.899746079875546
117,Produtos Digitais,Pleno,F,Branca,2016-01-10,27,7714.961924123319,123,74.98948787908027,10.850764514477133,2.901229240267677
118,Comercial,Júnior,M,Parda,2021-02-13,23,3413.391514057392,61,66.13254703444079,12.633777545711121,2.8079886216394265
119,Backoffice,Sênior,M,Indígena,2015-12-10,31,10351.047095381837,124,79.05000348701097,11.192146565231118,3.2581200973469957
120,Risco & Compliance,Júnior,F,Branca,2022-07-16,30,3258.9632837646063,44,76.03960372714329,11.339268023821097,2.621868536518248
121,Produtos Digitais,Sênior,F,Preta,2015-03-16,37,12284.274727382524,133,72.97451490017549,12.940038358121598,3.0716714897710453
122,Backoffice,Sênior,M,Parda,2017-06-29,35,10386.39591424857,105,73.56817816657528,9.390560163165125,3.2520631894953076
123,Tecnologia,Pleno,F,Branca,2023-11-25,26,6728.660561118841,27,68.82732424088219,19.319724668229203,2.9542011187309583
124,Comercial,Sênior,M,Parda,2022-03-07,31,9131.38665142601,48,64.30633616164786,13.289651564138673,3.2452995307632615
125,Comercial,Pleno,M,Parda,2015-09-24,31,5758.824105312271,127,66.76612070254248,11.506745568996429,2.9607203908584983
126,Tecnologia,Líder,M,Parda,2023-03-17,23,20889.45860166744,36,67.95811904714193,19.672508073383167,3.1590038880693005
127,Produtos Digitais,Júnior,M,Preta,2019-12-05,28,3602.620802390444,76,76.97357587088267,11.947076302924017,2.7923511241878938
128,Backoffice,Pleno,F,Branca,2023-06-18,29,5054.02046978124,33,76.66386233571637,12.878017898991942,3.2335027799013876
129,Comercial,Pleno,F,Preta,2021-01-01,42,5989.154978949478,63,69.10284493201276,10.833817210141,3.043337650289049
130,Risco & Compliance,Pleno,M,Parda,2021-10-24,35,6157.2928713654765,53,75.28365191460871,12.490264925767361,3.1647651990568892
131,Tecnologia,Pleno,M,Parda,2024-12-05,37,7654.63786870836,15,66.05896246336738,21.26450490537581,2.843277270493181
132,Comercial,Pleno,M,Parda,2017-04-28,25,5912.9460324298025,107,65.06430470669494,11.01106375826325,3.0944293019002473
133,Comercial,Júnior,F,Branca,2021-03-27,41,2941.463195716095,60,67.83474944979646,11.518517965291123,2.8125685876881534
134,Tecnologia,Júnior,F,Não declarado,2019-08-08,41,3313.4695917978675,80,64.65168141904581,22.78265223990644,2.8459702532776876
135,Backoffice,Pleno,M,Parda,2015-05-24,22,5086.194970327227,131,76.59552236055136,12.36624685418741,2.990914100610335
136,Tecnologia,Pleno,F,Branca,2015-02-22,29,8222.42679925541,134,63.94332053769327,20.314416012657308,2.9342088021889237
137,Risco & Compliance,Líder,M,Branca,2016-03-11,36,18410.119550980133,121,77.00898508605582,11.361246121982829,3.391193512598278
138,Crédito,Sênior,F,Parda,2021-06-27,37,10584.658188454114,57,74.87758836888906,14.552963873340133,3.1060773655099596
139,Tecnologia,Líder,M,Branca,2020-09-01,29,16575.715321076827,67,65.78378103122365,21.63811170298634,3.1145999756218785
140,Backoffice,Pleno,M,Branca,2020-07-13,32,4936.342509008013,68,73.57752007238595,13.340733361651752,2.750279744931023
141,Backoffice,Júnior,M,Branca,2015-04-27,30,2942.5944597493217,132,70.91429376301097,11.742426072514055,2.974091068138813
142,Comercial,Júnior,F,Branca,2019-09-09,34,3193.817891250185,79,65.9338482604372,12.508298861096547,2.7350722945108465
143,Tecnologia,Sênior,M,Branca,2024-03-28,41,12023.03745951202,23,65.14847842698846,21.501364893648773,3.0111685025206207
144,Tecnologia,Pleno,M,Branca,2018-12-22,29,7904.270701853939,87,66.92264188724559,20.960843473996974,2.921953270430126
145,Tecnologia,Júnior,F,Branca,2021-03-30,40,3989.578667504467,60,69.87366856695964,22.8324535387263,2.6207023820249744
146,Comercial,Pleno,M,Parda,2022-10-17,29,6783.616106514429,41,66.40945839234199,13.34142803183507,2.956472111673465
147,Risco & Compliance,Líder,M,Parda,2022-11-01,28,14346.12450728378,40,73.50564133831124,12.605244502512653,3.2698800525254375
148,Risco & Compliance,Pleno,M,Branca,2020-03-10,38,5990.737611997539,72,73.28518405617955,13.864321037923943,3.0218685304101007
149,Comercial,Pleno,M,Branca,2023-07-29,39,5223.346777674578,31,63.635165946688936,13.043000355489598,3.111211954609763
150,Comercial,Pleno,F,Parda,2018-11-29,39,6662.389080004999,88,63.19645958693199,16.02236068199514,3.09653849963756
151,Backoffice,Júnior,F,Branca,2023-11-18,26,3100.1620218287007,28,72.36090499318112,13.720945557860153,2.8323240606568336
152,Comercial,Pleno,F,Branca,2017-05-26,31,6134.35572711931,106,64.84315011687458,12.275050659031342,2.9778748082162116
153,Comercial,Pleno,M,Branca,2017-10-19,38,5250.5941380921295,102,65.25921059050613,14.573294767606628,2.959599566431919
154,Tecnologia,Júnior,M,Parda,2015-07-13,34,3494.9764034854347,129,66.9006162086656,19.192393608590887,2.824783180814176
155,Backoffice,Sênior,M,Parda,2022-12-13,27,8923.501566966772,39,72.03941612583282,11.254053056982755,3.372913055145553
156,Comercial,Pleno,F,Parda,2019-03-03,36,6109.33775282775,85,66.87975854308041,15.947598602475457,3.2341851692554218
157,Crédito,Sênior,F,Parda,2017-04-16,29,10665.251434426667,108,79.1215761960403,13.552463124047115,3.205136759602682
158,Produtos Digitais,Sênior,M,Parda,2017-04-26,44,11770.487448847469,107,76.64308894443364,11.630903671772534,3.215877578604227
159,Comercial,Júnior,M,Parda,2024-01-04,43,3207.6860716679694,26,71.95480782192426,13.931597972662976,2.9019635696568042
160,Produtos Digitais,Pleno,F,Parda,2023-05-02,37,7611.76491432265,34,74.55946425683072,13.338178264563185,3.0135820177673485
161,Tecnologia,Pleno,M,Branca,2020-07-13,42,7392.841898302427,68,66.14878240113758,17.952766790585482,3.000941827657723
162,Crédito,Sênior,F,Parda,2021-02-26,34,10215.449890688951,61,73.41506593159468,10.243188564951595,3.229668979074923
163,Crédito,Júnior,F,Parda,2019-09-28,38,3763.137494013389,78,79.1215761960403,12.8568793435034,2.7865381814827574
164,Risco & Compliance,Pleno,F,Parda,2018-11-30,42,6729.753116309635,88,72.47704881567854,11.879020656759165,2.8255104127740225
165,Comercial,Pleno,F,Branca,2024-02-24,35,6722.854127177752,24,68.19811480783137,10.87088041429894,2.9602795524966883
166,Produtos Digitais,Júnior,Outro,Branca,2016-04-03,32,4044.49794912438,120,77.56058117859773,13.09477458447388,3.160727674524218
167,Tecnologia,Júnior,F,Parda,2019-03-08,23,4246.6038807951145,85,65.55579610167645,19.602959610019877,2.966514247844655
168,Comercial,Pleno,F,Parda,2018-06-11,33,6705.362767886386,94,65.2055992230567,12.556648407724369,2.7318744182456283
169,Comercial,Pleno,F,Preta,2019-12-24,38,6137.627741626621,75,68.20695728797774,12.834093153240486,2.9224833848050125
170,Risco & Compliance,Júnior,M,Branca,2019-07-29,39,3729.554503768365,80,76.42045050307806,11.12096662983044,2.989270575958274
171,Crédito,Pleno,F,Parda,2020-03-08,37,6533.793706899722,73,73.11076447602144,9.024951926193603,2.986588677499002
172,Comercial,Pleno,M,Parda,2016-05-25,30,5758.15589286758,119,63.942342396763564,12.928919944973485,2.9929879233254084
173,Risco & Compliance,Pleno,F,Preta,2020-02-16,22,5700.046343585954,73,75.78246943971463,12.534157628027428,3.142387633888337
174,Comercial,Júnior,F,Parda,2017-06-03,31,3080.2808160874674,106,64.55678240120493,13.521578474056248,2.622021974955964
175,Crédito,Sênior,F,Parda,2016-11-03,32,12265.637696254818,113,72.28813636644826,12.188789584238618,3.3591624609052944
176,Comercial,Júnior,M,Parda,2015-08-25,32,3246.1672712178924,128,70.90623501760881,11.295342631555348,2.8555362769597266
177,Crédito,Pleno,M,Parda,2022-08-15,37,6175.119712115433,43,72.13797034042098,10.922718139988506,2.886885325064911
178,Tecnologia,Júnior,F,Amarela,2019-04-10,45,3687.178956351562,84,65.70631279530976,21.131250837276877,2.8357944613017403
179,Backoffice,Júnior,M,Branca,2021-04-06,34,2573.718046340298,59,76.90999676444501,11.252499182268524,2.874446700791024
180,Comercial,Pleno,M,Branca,2022-04-09,32,6291.829227937647,47,70.7477428804909,11.431089467612123,3.072117591168341
181,Tecnologia,Júnior,F,Amarela,2021-10-15,32,3365.189668974489,53,67.35997123472622,17.990558704410056,3.0216973859246656
182,Comercial,Sênior,M,Parda,2019-09-14,34,11212.491051868225,78,65.39305330168366,13.076261032806341,3.250921852639475
183,Backoffice,Júnior,F,Parda,2018-11-16,29,2619.692622040508,88,75.75697934872291,11.97228807487379,2.8563872062749325
184,Backoffice,Pleno,M,Parda,2018-10-04,34,5343.297875352898,90,77.24960788670283,13.46477067984584,2.938718576820436
185,Comercial,Júnior,M,Branca,2021-05-25,36,3315.8156899359,58,67.52162234424179,12.128199322691097,2.920725843756309
186,Crédito,Júnior,M,Parda,2019-12-11,35,3407.0139765008234,75,76.29308526694844,11.55637088524505,2.8279147085784437
187,Produtos Digitais,Júnior,M,Parda,2023-06-27,36,3471.655074147089,32,79.1215761960403,15.158204825738494,2.614879699238472
188,Risco & Compliance,Pleno,F,Branca,2023-09-28,36,6589.280777381239,29,75.13860308784881,9.34193093035415,3.0324366921880075
189,Risco & Compliance,Pleno,M,Branca,2016-09-14,23,5777.395804052645,115,74.49181728958342,11.995173255919317,2.972995325450414
190,Comercial,Pleno,F,Parda,2016-05-12,37,6873.620493637159,119,69.26662724412297,14.338921400878206,3.0662700915007868
191,Comercial,Pleno,F,Branca,2021-04-19,29,6158.600826820084,59,68.36656219200617,11.903342483237319,3.1117705276056142
192,Backoffice,Pleno,M,Preta,2018-01-04,27,5283.670776114773,99,79.09744712201488,12.087081264503764,3.1369164212226917
193,Backoffice,Júnior,M,Branca,2015-03-09,27,2904.478616013213,133,76.65161386617142,11.951291137763349,2.704972018427514
194,Crédito,Pleno,M,Parda,2023-11-18,36,6024.114904000231,28,74.02393617916702,8.945722850759951,3.0161549895914006
195,Tecnologia,Líder,F,Amarela,2017-04-08,32,20436.888586512097,108,67.18687215574546,20.69171455196522,3.2655099560744874
196,Tecnologia,Pleno,M,Parda,2024-04-14,23,8456.988121194368,23,70.23219293079428,20.22772366183064,3.0075889392895614
197,Produtos Digitais,Pleno,M,Branca,2022-03-03,36,9009.899863340968,48,72.70794722438329,10.098406529238963,3.2710994512704326
198,Backoffice,Júnior,F,Parda,2022-08-15,25,2714.702749965272,43,74.39943664440602,14.418128798762092,2.7644825634666024
199,Backoffice,Sênior,F,Branca,2017-01-05,34,9003.4391409836,111,79.08063238447896,12.284319966719307,2.9778634975539724
200,Produtos Digitais,Sênior,F,Branca,2017-05-04,35,11617.104825426017,107,71.4828786509326,11.260467508648885,3.341121052697463
201,Crédito,Pleno,F,Não declarado,2020-03-17,39,7213.398742510896,72,75.26478222705082,10.883424023962917,2.8605971274374755
202,Comercial,Líder,Outro,Parda,2016-09-20,44,15157.071528854076,115,70.63069365916668,13.336793504831855,3.4621106868934355
203,Comercial,Júnior,M,Parda,2018-01-19,25,2963.411734194607,98,65.99102720323135,11.158542817256446,2.768449541777621
204,Backoffice,Júnior,M,Branca,2018-03-19,33,3198.5244651011744,97,77.25524641413995,9.046463424788925,2.7850442096136816
205,Risco & Compliance,Sênior,Outro,Branca,2016-08-05,32,9904.000373573392,116,70.3461114177952,14.103460017111594,3.4621106868934355
206,Comercial,Sênior,F,Branca,2017-01-18,36,8528.998800070547,111,65.79532412261605,14.487417097622602,3.157152089752517
207,Comercial,Júnior,M,Parda,2022-11-18,35,2615.984806908689,40,66.08329060241753,13.119704142403483,2.7249849252272482
208,Crédito,Júnior,F,Parda,2016-09-02,31,3163.689438151326,115,73.97102335024356,13.594341789836315,2.8980040897012365
209,Comercial,Júnior,M,Parda,2015-04-14,31,2579.956994337111,132,67.3445026020577,12.765984023798687,2.8063958641751996
210,Comercial,Júnior,F,Preta,2021-04-16,27,3002.559339578822,59,64.04574052265293,12.522216443344151,2.651132537967192
211,Risco & Compliance,Sênior,M,Branca,2024-10-02,39,10386.498502270808,17,75.00908065297865,12.027912153506316,3.2849042297681197
212,Crédito,Pleno,F,Branca,2018-04-23,36,6238.599826701034,95,75.70132144238924,13.802310385100155,2.9720749023530852
213,Crédito,Júnior,F,Branca,2016-03-09,39,3708.8370175718646,121,72.60779588909536,10.731086996508113,2.8965246963739433
214,Comercial,Pleno,M,Branca,2020-09-12,32,5468.012387218553,66,64.1472812104377,12.65846756762843,2.994826801948223
215,Crédito,Júnior,F,Branca,2024-01-22,30,3644.1712795285753,25,78.90949187583723,12.561286245533482,2.7586745933277954
216,Comercial,Júnior,M,Amarela,2022-11-01,27,2864.338415262875,40,67.43321830638492,15.758029808571058,2.6567895207710133
217,Tecnologia,Pleno,F,Branca,2021-03-22,36,7526.612461490747,60,66.16073244642493,18.191187662819466,3.067370858399021
218,Produtos Digitais,Líder,M,Preta,2018-02-23,27,22885.742267096768,97,73.7687208017747,11.834093010103437,3.42621004380473
